priced_call_id,request_id,distributor_id,booking_id,priced_ts,ingest_ts,status_code,returned_products,currency
pc_bkg_500027_1,req_p_bkg_500027,dist_b,bkg_500027,2026-01-12T13:50:27Z,2026-01-12T16:42:09Z,500,[],USD
pc_bkg_500028_2,req_p_bkg_500028,dist_a,bkg_500028,2026-01-12T15:20:42Z,2026-01-12T18:22:50Z,200,"[{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500028_sup_ins_663"",""offer_price"":8.52,""commission_estimate"":8.4}]",USD
pc_bkg_500029_3,req_p_bkg_500029,dist_b,bkg_500029,2026-01-12T06:50:56Z,2026-01-12T23:16:58Z,200,"[{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500029_sup_bag_233"",""offer_price"":39.01,""commission_estimate"":8.01},{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500029_sup_vip_717"",""offer_price"":17.28,""commission_estimate"":3.51},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500029_sup_esim_961"",""offer_price"":6.13,""commission_estimate"":3.8}]",USD
pc_bkg_500030_4,req_p_bkg_500030,dist_c,bkg_500030,2026-01-12T08:24:46Z,2026-01-12T11:39:20Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500030_sup_vip_863"",""offer_price"":26.83,""commission_estimate"":4.19}]",USD
pc_bkg_500031_5,req_p_bkg_500031,dist_b,bkg_500031,2026-01-12T12:46:22Z,2026-01-12T19:49:30Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500031_sup_vip_127"",""offer_price"":16.15,""commission_estimate"":1.25},{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500031_sup_ref_740"",""offer_price"":32.23,""commission_estimate"":7.24},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500031_sup_esim_474"",""offer_price"":13.18,""commission_estimate"":2.09}]",USD
pc_bkg_500032_6,req_p_bkg_500032,dist_a,bkg_500032,2026-01-12T14:07:57Z,2026-01-12T08:23:03Z,200,"[{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500032_sup_ref_520"",""offer_price"":9.62,""commission_estimate"":3.08},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500032_sup_bag_911"",""offer_price"":27.59,""commission_estimate"":1.96}]",USD
pc_bkg_500033_7,req_p_bkg_500033,dist_c,bkg_500033,2026-01-12T15:51:51Z,2026-01-12T15:28:15Z,500,[],USD
pc_bkg_500034_8,req_p_bkg_500034,dist_a,bkg_500034,2026-01-12T09:59:49Z,2026-01-12T20:53:24Z,200,"[{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500034_sup_ref_496"",""offer_price"":6.01,""commission_estimate"":2.68},{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500034_sup_vip_104"",""offer_price"":37.5,""commission_estimate"":2.04}]",USD
pc_bkg_500035_9,req_p_bkg_500035,dist_b,bkg_500035,2026-01-12T14:26:10Z,2026-01-12T18:52:19Z,500,[],USD
pc_bkg_500036_10,req_p_bkg_500036,dist_a,bkg_500036,2026-01-12T09:50:36Z,2026-01-12T18:17:36Z,500,[],USD
